crop,soil_zone,avg_crop_price,avg_yield,other_variable_cost,fixed_cost,fertilizer_nitrogen,phosphorus,sulphur_others,herbicides,insecticides,fungicides
Fallow,black,3.94,0,0,120,0,0,0,0,0,0
Feed Barley,black,4.37,96.5,98.02,120,48.79,21.36,0,20.82,26.91,19.1
Malt Barley,black,5.2,78.3,107.87,119.57,39.71,17.09,0,59.72,26.91,19.1
Canola,black,11.25,56,152.91,119.57,56.45,30.38,6.13,64.37,21.86,28.13
Corn,black,4.85,118,156.33,110,60.28,26.58,0,49.9,26.91,0
Flax,black,14,37.4,90.86,119.57,41.62,12.34,0,29.29,25.76,28.13
Oats,black,3.33,146,112.85,119.57,47.36,19.46,0,24.32,26.91,19.1
Yellow Peas,black,7.5,61.4,122.97,119.57,4.74,22.31,0,45.08,8.77,28.13
Soybean,black,10.93,37.5,181.9,119.57,2.82,13.29,0,54.82,2.17,0
Spring Wheat,black,6.04,68.4,101.07,119.57,54.06,20.89,0,62.2,26.91,19.1
Feed Barley,darkbrown,4.37,85.4,88.23,110,43.53,18.51,0,20.82,26.91,0
Malt Barley,darkbrown,5.2,64,97.68,109.53,35.4,15.19,0,59.72,26.91,19.1
Canola,darkbrown,11.2,52,146.05,120,52.62,28.01,5.75,57.58,21.86,28.13
Corn,darkbrown,4.85,77,189.35,124,39.23,17.56,0,38.95,26.91,0
Flax,darkbrown,14,34.3,83.61,109.53,38.27,11.39,0,45.84,25.76,28.13
Oats,darkbrown,3.33,110,106.51,110,35.88,14.72,0,24.32,26.91,0
Yellow Peas,darkbrown,7.5,52.9,109.41,109.53,4.07,18.99,0,61.63,8.77,28.13
Soybean,darkbrown,10.93,34.5,175.04,109.53,2.63,12.34,0,54.82,2.17,0
Spring Wheat,darkbrown,6.04,61.4,89.98,109.53,48.32,18.99,0,61.7,26.91,19.1
Fallow,darkbrown,3.94,0,0,111.24,0,0,0,0,0,0
Feed Barley,brown,4.37,78.1,80.47,95,39.71,17.09,0,20.82,26.91,0
Malt Barley,brown,5.2,70,88.5,95.34,32.53,14.24,0,59.72,26.91,19.1
Canola,brown,11.2,48,142.55,95,48.79,26.11,5.11,57.58,21.86,0
Corn,brown,4.85,77,183.6,110.23,39.23,17.56,0,49.9,26.91,0
Flax,brown,14,30.3,78.47,95.34,33.96,9.97,0,45.84,25.76,0
Oats,brown,3.33,81.1,101.54,95.3,26.31,10.92,0,24.32,26.91,0
Yellow Peas,brown,7.5,43.4,97.46,95.34,3.35,15.66,0,61.63,8.77,28.13
Soybean,brown,10.93,32,170.18,95.34,2.44,11.39,0,54.82,2.17,0
Spring Wheat,brown,6.04,53,82.53,95.34,41.62,16.14,0,61.7,26.91,19.1
Fallow,brown,3.94,0,0,96.96,0,0,0,0,0,0
