year,value
1985,115.82833333333333
1986,81.31
1987,60.6225
1988,81.86749999999999
1989,102.14333333333333
1990,90.6075
1991,75.6375
1992,76.965
1993,76.16916666666667
1994,81.1775
1995,120.43666666666667
1996,142.0425
1997,112.50166666666667
1998,105.44583333333333
1999,88.12083333333334
2000,88.94166666666666
2001,123.08666666666667
2002,154.19833333333332
2003,133.3175
2004,113.29166666666667
2005,91.7875
2006,101.80666666666667
2007,156.99166666666667
2008,199.305
2009,152.76583333333332
2010,138.06916666666666
2011,174.58416666666668
2012,214.235
2013,239.07583333333332
2014,173.54083333333332
2015,218.79583333333335
2016,215.955
2017,193.90833333333333
2018,213.36166666666668
2019,227.00083333333333
2020,215.255
2021,279.6125
