year,Canola
1908,..
1909,..
1910,..
1911,..
1912,..
1913,..
1914,..
1915,..
1916,..
1917,..
1918,..
1919,..
1920,..
1921,..
1922,..
1923,..
1924,..
1925,..
1926,..
1927,..
1928,..
1929,..
1930,..
1931,..
1932,..
1933,..
1934,..
1935,..
1936,..
1937,..
1938,..
1939,..
1940,..
1941,..
1942,..
1943,11.8
1944,7.9
1945,16
1946,11.4
1947,7.5
1948,16
1949,17
1950,5
1951,18.5
1952,16
1953,17
1954,14
1955,11.2
1956,17
1957,14
1958,12.3
1959,17
1960,14.5
1961,15
1962,15.7
1963,19.2
1964,17.5
1965,19.3
1966,17.4
1967,17
1968,19.6
1969,18.2
1970,18
1971,18.6
1972,16.5
1973,16.6
1974,16
1975,18.5
1976,22.8
1977,25.5
1978,22.9
1979,17.1
1980,22
1981,24.8
1982,23.3
1983,22.4
1984,19.7
1985,23.4
1986,25.2
1987,25.3
1988,17.7
1989,18.2
1990,22.9
1991,22.6
1992,21
1993,22.9
1994,21.4
1995,19
1996,25.3
1997,21.3
1998,23
1999,26.7
2000,25.8
2001,20.2
2002,18.6
2003,20.9
2004,22.7
2005,31.6
2006,27.6
2007,24.5
2008,32.4
2009,35.2
2010,30.9
2011,32.9
2012,25.1
2013,38.2
2014,33
2015,37.9
2016,42.1
2017,39.3
2018,40.7
2019,42.8
2020,42.7
2021,22
